timestamp_us,yes_volume,yes_slippage,yes_bid,yes_ask,yes_spread,no_volume,no_slippage,no_bid,no_ask,no_spread,bid_sum_discrepancy,ask_sum_discrepancy
1767724355217180,262.67,15.6000,0.2400,0.2700,0.0300,170.42,10.0000,0.7300,0.7600,0.0300,0.030000,-0.030000
1767724357859866,262.67,15.6000,0.2500,0.2700,0.0200,170.42,10.0000,0.7300,0.7500,0.0200,0.020000,-0.020000
1767724362367751,274.28,16.4600,0.2600,0.2700,0.0100,177.17,10.1800,0.7300,0.7400,0.0100,0.010000,-0.010000
1767724362557821,274.28,16.4600,0.2500,0.2700,0.0200,177.17,10.1800,0.7300,0.7500,0.0200,0.020000,-0.020000
1767724365979460,274.55,16.4800,0.2500,0.3000,0.0500,177.17,10.1800,0.7000,0.7500,0.0500,0.050000,-0.050000
1767724365979460,274.55,16.4800,0.2700,0.3000,0.0300,177.17,10.1800,0.7000,0.7300,0.0300,0.030000,-0.030000
1767724366031197,274.55,16.4800,0.2800,0.3000,0.0200,177.17,10.1800,0.7000,0.7200,0.0200,0.020000,-0.020000
1767724366384449,274.55,16.4800,0.2800,0.2900,0.0100,177.17,10.1800,0.7100,0.7200,0.0100,0.010000,-0.010000
1767724366432042,274.55,16.4800,0.2800,0.3000,0.0200,177.17,10.1800,0.7000,0.7200,0.0200,0.020000,-0.020000
1767724367806950,274.55,16.4800,0.2800,0.2900,0.0100,177.17,10.1800,0.7100,0.7200,0.0100,0.010000,-0.010000
1767724367916167,274.55,16.4800,0.2800,0.3000,0.0200,177.17,10.1800,0.7000,0.7200,0.0200,0.020000,-0.020000
1767724368865791,274.55,16.4800,0.2900,0.3000,0.0100,177.17,10.1800,0.7000,0.7100,0.0100,0.010000,-0.010000
1767724368897245,274.55,16.4800,0.2800,0.3000,0.0200,177.17,10.1800,0.7000,0.7200,0.0200,0.020000,-0.020000
1767724369258363,274.85,16.5000,0.2900,0.3000,0.0100,177.87,10.1800,0.7000,0.7100,0.0100,0.010000,-0.010000
1767724369347408,274.85,16.5000,0.2900,0.3200,0.0300,177.87,10.1800,0.6800,0.7100,0.0300,0.030000,-0.030000
1767724369347408,274.85,16.5000,0.3000,0.3200,0.0200,177.87,10.1800,0.6800,0.7000,0.0200,0.020000,-0.020000
